Player Name,Credits,Player Type,Team,Innings,Runs,Balls Faced,Fours,Sixes,Batting Average,Strike Rate,Boundary_Percentage,Innings_X,Balls Bowled,Runs_Conceded,Wickets,Bowling  Average,Economy Rate,Bowling  Strike_rate,Dream11_Avg,AVERAGE_POINTS,Dream_11_2024_avg,Weighted_Score,RECENT_FORM
Kumar Kushagra,5.5,Wicketkeeper/Batter,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.9,0
Anuj Rawat,6.5,Wicketkeeper/Batter,Gujarat Titans,21,318,267,26,14,19.88,119.1011236,59.11949686,0,0,0,0,0,0,0,27.66667,0,30,26.9833355,0
Manav Suthar,6,Bowler,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11.7,0
Washington Sundar,7,All-rounder,Gujarat Titans,40,378,325,32,9,14,116.3076923,48.14814815,58,1054,1325,37,35.81,7.54,28.49,30.06897,51.4,23,35.1264159,44
Gerald Coetzee,7,Bowler,Gujarat Titans,5,14,22,0,1,3.5,63.63636364,42.85714286,10,201,341,13,26.23,10.18,15.46,43.6,46,48,45.312,46
Arshad Khan,5.5,All-rounder,Gujarat Titans,7,101,69,6,6,25.25,146.3768116,59.40594059,10,146,304,6,50.67,12.49,24.33,35.3,30.6,39,34.657,30
Gurnoor Brar Singh,5.5,Bowler,Gujarat Titans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherfane Rutherford,7,Batter,Gujarat Titans,23,428,299,26,29,25.18,143.1438127,64.95327103,3,42,72,1,72,10.29,42,32.08696,51.625,40,39.8846212,44.3125
Ravisrinivasan Sai Kishore,7,Bowler,Gujarat Titans,2,13,6,0,2,13,216.6666667,92.30769231,10,186,258,13,19.85,8.32,14.31,54.1,46.3,48,40,46.95833
Ishant Sharma,7.5,Bowler,Gujarat Titans,28,57,69,4,2,9.5,82.60869565,49.12280702,110,2309,3172,92,34.48,8.24,25.1,27.53636,28.375,39,30.3183392,29.8125
Jayant Yadav,6.5,Bowler,Gujarat Titans,5,40,36,2,1,10,111.1111111,35,20,390,445,8,55.63,6.85,48.75,15.5,0,0,15.5,0
Glenn Phillips,8,Batter,Gujarat Titans,74,1928,1372,138,91,31.1,140.5247813,56.95020747,13,128,157,6,26.17,7.36,21.33,43.48649,0,42,40.8662185,0
Karim Janat,6,All-rounder,Gujarat Titans,48,691,596,49,28,17.72,115.9395973,52.67727931,49,835,1140,42,27.14,8.19,19.88,48.95918,4,0,21.983672,4
Kulwant Khejroliya,6,Bowler,Gujarat Titans,0,0,0,0,0,0,0,0,7,121,217,5,43.4,10.76,24.2,22.85714,0,0,22.85714,0
Rinku Singh,7.5,Batter,Kolkata Knight Riders,40,893,623,67,46,30.79,143.3386838,60.91825308,0,0,0,0,0,0,0,37.8,42.1,40,39.617,42.29167
Varun Chakravarthy,9,Bowler,Kolkata Knight Riders,12,25,46,2,0,6.25,54.34782609,32,70,1588,2002,83,24.12,7.56,19.13,38.41429,56,56,47.7347163,55.95833
Sunil Narine,9,All-rounder,Kolkata Knight Riders,110,1534,925,164,97,17.04,165.8378378,80.70404172,175,4075,4571,180,25.39,6.73,22.64,48.89714,97.88889,82,71.3672117,85.3125
Andre Russell,8.5,Batter,Kolkata Knight Riders,105,2484,1420,170,209,29.22,174.9295775,77.85829308,112,1697,2646,115,23.01,9.36,14.76,73.19643,51.7,40,59.2293221,51.16667
Harshit Rana,8,Bowler,Kolkata Knight Riders,3,2,3,0,0,1,66.66666667,0,19,385,581,25,23.24,9.05,15.4,42.21053,51.2,46,45.8309491,48
Ramandeep Singh,7.5,All-rounder,Kolkata Knight Riders,13,170,102,8,13,28.33,166.6666667,64.70588235,4,40,63,6,10.5,9.45,6.67,44,14.55556,29,31.5722236,14.89583
Venkatesh Iyer,8,Batter,Kolkata Knight Riders,49,1326,967,121,61,31.57,137.1251293,64.1025641,9,81,143,3,47.67,10.59,27,46.36735,34.5,46,42.6076545,39.29167
Quinton de Kock,8,Wicketkeeper/Batter,Kolkata Knight Riders,107,3157,2352,316,123,31.26,134.2261905,63.41463415,0,0,0,0,0,0,0,48.91589,46,48,47.8104683,38.64286
Rahmanullah Gurbaz,7.5,Wicketkeeper/Batter,Kolkata Knight Riders,13,289,216,24,19,22.23,133.7962963,72.66435986,0,0,0,0,0,0,0,44.15385,35,41,40.6223095,21.16667
Anrich Nortje,8,Bowler,Kolkata Knight Riders,15,49,49,6,0,8.17,100,48.97959184,46,1054,1574,60,26.23,8.96,17.57,43.32609,50,45,45.7632623,43
Angkrish Raghuvanshi,6.5,Batter,Kolkata Knight Riders,7,163,105,16,8,23.29,155.2380952,68.71165644,0,0,0,0,0,0,0,50,59.66667,42,51.2366677,50
Vaibhav Arora,6.5,Bowler,Kolkata Knight Riders,8,9,16,0,0,4.5,56.25,0,20,383,586,19,30.84,9.18,20.16,30.85,56.44444,38,40.3572764,49
Chetan Sakariya,5.5,Bowler,Kolkata Knight Riders,0,0,0,0,0,0,0,0,19,426,599,20,29.95,8.44,21.3,40,0,35,36.5,0
Mayank Markande,6,Bowler,Kolkata Knight Riders,11,48,42,5,1,16,114.2857143,54.16666667,37,720,1069,37,28.89,8.91,19.46,34,0,30.4,31.22,0
Rovman Powell,7,Batter,Kolkata Knight Riders,22,360,244,21,28,18.95,147.5409836,70,2,18,35,1,35,11.67,18,29.27273,12.5,32,24.6731831,12.25
Manish Pandey,7,Batter,Kolkata Knight Riders,159,3850,3179,334,110,29.17,121.1072664,51.84415584,0,0,0,0,0,0,0,37.23899,39,38,37.9523253,39
